                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2993,                0.88911,                 1.3483,                0.81541,                0.87062,                0.89145,                 0.5879,                 1.1696,                0.73071,                 1.3747,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.2835,                 0.8646,                 1.3571,                0.81524,                0.86563,                0.89853,                0.60253,                 1.1433,                0.70933,                 1.3594,              0.0011141,              0.0011141,              0.0011141
                     70,                 1.2747,                0.87419,                 1.3509,                0.82804,                0.85676,                0.90643,                0.60477,                 1.1426,                0.71073,                 1.3604,              0.0011059,              0.0011059,              0.0011059
                     71,                  1.296,                0.86517,                 1.3535,                0.82747,                0.88647,                0.89917,                0.60238,                 1.1248,                 0.6939,                  1.355,              0.0010976,              0.0010976,              0.0010976
                     72,                 1.3102,                0.85236,                 1.3613,                0.79927,                0.89394,                0.90419,                0.60498,                 1.1346,                0.70565,                 1.3571,              0.0010894,              0.0010894,              0.0010894
                     73,                  1.266,                0.84605,                 1.3337,                0.81881,                0.88286,                0.89854,                 0.6017,                 1.1475,                0.69489,                 1.3586,              0.0010811,              0.0010811,              0.0010811
                     74,                  1.292,                0.84784,                 1.3496,                0.83683,                0.86634,                0.90486,                0.56744,                  1.233,                0.70228,                 1.4171,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.2926,                0.84533,                 1.3408,                0.85842,                0.85811,                0.90296,                0.62349,                 1.1059,                0.66869,                  1.332,              0.0010646,              0.0010646,              0.0010646
                     76,                 1.2631,                0.83168,                 1.3162,                0.85081,                0.86573,                0.90764,                0.61297,                 1.1156,                0.67637,                 1.3403,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.2447,                0.85217,                 1.3442,                0.80902,                0.88501,                0.90611,                0.60167,                 1.1526,                0.69415,                 1.3541,              0.0010481,              0.0010481,              0.0010481
                     78,                 1.2576,                 0.8352,                 1.3341,                0.86346,                0.86518,                0.92404,                0.63165,                 1.1137,                0.65839,                 1.3344,              0.0010399,              0.0010399,              0.0010399
                     79,                 1.2484,                0.83719,                 1.3265,                 0.8399,                 0.8929,                0.92453,                0.63028,                 1.1107,                0.67585,                 1.3396,              0.0010316,              0.0010316,              0.0010316
                     80,                 1.2404,                0.82804,                 1.3289,                0.83952,                0.87537,                0.91175,                0.61346,                 1.1138,                0.69721,                 1.3403,              0.0010234,              0.0010234,              0.0010234
                     81,                 1.2467,                0.83616,                 1.3137,                 0.8368,                0.86576,                 0.9093,                0.61219,                 1.1263,                0.70061,                 1.3433,              0.0010151,              0.0010151,              0.0010151
                     82,                 1.2254,                0.78981,                 1.3181,                0.85654,                0.88192,                0.92107,                0.62965,                 1.0885,                0.63499,                 1.3214,              0.0010069,              0.0010069,              0.0010069
                     83,                  1.238,                0.82133,                 1.3099,                0.86014,                 0.8907,                0.92375,                0.62798,                 1.0966,                0.64755,                 1.3234,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.2545,                0.82011,                  1.324,                0.84968,                0.86688,                 0.9124,                0.62628,                  1.088,                0.64917,                  1.323,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.2452,                0.81293,                 1.3211,                0.86051,                 0.8934,                0.92251,                0.64336,                 1.0793,                0.63234,                 1.3124,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.2235,                0.78793,                  1.324,                0.86725,                0.88628,                0.93458,                0.64771,                 1.0711,                0.62554,                 1.3045,             0.00097386,             0.00097386,             0.00097386
                     87,                    1.2,                0.78997,                 1.2861,                0.87011,                0.89111,                0.93688,                0.64797,                  1.073,                 0.6273,                  1.296,             0.00096561,             0.00096561,             0.00096561
                     88,                 1.2206,                0.79226,                 1.2931,                0.86293,                0.87802,                0.92968,                0.63603,                 1.0848,                0.63051,                 1.3142,             0.00095736,             0.00095736,             0.00095736
                     89,                 1.2521,                0.84239,                 1.3028,                 0.8342,                0.87095,                0.93262,                0.63719,                 1.0886,                0.67009,                 1.3209,             0.00094911,             0.00094911,             0.00094911
                     90,                  1.207,                 0.7858,                 1.2936,                 0.8597,                0.89541,                0.92981,                0.63701,                 1.0735,                0.62971,                 1.3139,             0.00094085,             0.00094085,             0.00094085
                     91,                 1.2411,                0.78633,                 1.3117,                 0.8544,                0.90871,                0.93273,                0.63347,                 1.0935,                0.61697,                  1.319,              0.0009326,              0.0009326,              0.0009326
                     92,                 1.2223,                0.80693,                  1.315,                0.87862,                0.88916,                0.93628,                 0.6617,                 1.0559,                0.60592,                 1.3013,             0.00092435,             0.00092435,             0.00092435
                     93,                 1.2217,                0.78236,                  1.294,                0.85735,                0.91293,                0.93715,                0.65014,                 1.0537,                0.60561,                 1.2883,              0.0009161,              0.0009161,              0.0009161
                     94,                  1.195,                 0.7806,                 1.3034,                0.86107,                0.89341,                0.93473,                0.65038,                 1.0355,                0.64228,                 1.2741,             0.00090785,             0.00090785,             0.00090785
                     95,                 1.2154,                0.75927,                 1.2847,                0.87039,                 0.9074,                0.94354,                0.66947,                 1.0283,                0.59303,                 1.2699,              0.0008996,              0.0008996,              0.0008996
                     96,                  1.218,                0.77362,                 1.2891,                 0.8727,                0.89182,                0.93314,                  0.651,                 1.0451,                 0.6232,                 1.2842,             0.00089134,             0.00089134,             0.00089134
                     97,                 1.2249,                0.78921,                  1.311,                0.88098,                0.91022,                0.94084,                0.65221,                 1.0415,                0.59498,                 1.2802,             0.00088309,             0.00088309,             0.00088309
